epoch,train_loss,val_loss,val_acc,val_ece,val_adaece,val_classece,val_brier
0,5.828945363109762,4.415967392921448,1.72,0.0050813122652471066,0.00965843,0.03419391,0.9898383021354675
1,4.258628325706178,4.097419035434723,3.92,0.003545232117176056,0.00799682,0.032698013,0.98012775182724
2,3.961514982987534,3.882377362251282,6.4399999999999995,0.02346464805305004,0.027389796,0.054314174,0.9724432826042175
3,3.7212267450310965,3.6208608567714693,10.84,0.012542488053441048,0.014859898,0.054480437,0.9578952193260193
4,3.4771307320757345,3.4173620104789735,12.78,0.014805225655436516,0.016363168,0.10576101,0.9432570338249207
5,3.2674536393447355,3.164377897977829,17.16,0.016861870884895325,0.015970955,0.12581679,0.920456051826477
6,3.0946198349649254,3.0785365283489226,17.740000000000002,0.014524881727993488,0.016386878,0.1510495,0.9163643717765808
7,2.9671026434410703,3.006125921010971,19.08,0.013468117453157902,0.019595563,0.1384484,0.909677267074585
8,2.8623184256932954,2.8580845475196837,21.92,0.01195276714861393,0.01835908,0.16058299,0.8901758790016174
9,2.772046528079293,2.831789529323578,21.82,0.018713727593421936,0.02266484,0.1695603,0.8904552459716797
10,2.704339503564618,2.7925740778446198,22.74,0.03066154196858406,0.030885415,0.1687269,0.8856649398803711
11,2.648616464300589,2.822845983505249,22.38,0.05317850410938263,0.05317849,0.1695249,0.8960427641868591
12,2.5821130262179808,2.6884302318096163,24.72,0.03417034074664116,0.03535567,0.20777309,0.8750792741775513
13,2.501742708412084,2.6474369406700133,25.4,0.0269810501486063,0.029730327,0.19380465,0.8690679669380188
14,2.4395999163389206,2.6001536428928373,25.94,0.026959344744682312,0.029469186,0.20975228,0.8651607632637024
15,2.374037754806605,2.5655639708042144,27.439999999999998,0.01604183204472065,0.021986317,0.20881712,0.8520476818084717
16,2.2987421442839233,2.4986933797597883,27.800000000000004,0.03651850298047066,0.03905531,0.22297305,0.8542025685310364
17,2.2464156817983496,2.3839293301105497,29.299999999999997,0.02169542945921421,0.02325008,0.23355082,0.8317143321037292
18,2.1911563111299817,2.344976598024368,30.8,0.025679826736450195,0.023722949,0.24733952,0.8232736587524414
19,2.130572350526398,2.350483602285385,30.5,0.029072143137454987,0.028485935,0.21194762,0.8276561498641968
20,2.0958311930298805,2.411509084701538,29.5,0.046581972390413284,0.045767616,0.22396405,0.8317039012908936
21,2.036919020116329,2.2545063614845278,32.1,0.029867490753531456,0.0277286,0.24648388,0.8099905252456665
22,2.0128735618835147,2.234225755929947,32.84,0.02784941904246807,0.027715296,0.26105762,0.8027397394180298
23,1.9589721431786364,2.2781581819057464,32.24,0.03271638974547386,0.0327164,0.2701109,0.8156856894493103
24,1.9463395401835442,2.2675110310316087,33.44,0.031905971467494965,0.031640384,0.24303743,0.7999829649925232
25,1.910182062536478,2.3627189874649046,31.04,0.059458646923303604,0.059458666,0.22805206,0.8299969434738159
26,1.883452969179912,2.054412081837654,36.52,0.013078649528324604,0.011439254,0.28406373,0.7732646465301514
27,1.862518813799728,2.239248591661453,32.84,0.0545542873442173,0.053850047,0.26742113,0.8067517280578613
28,1.8415827243165537,1.9961537808179854,36.88,0.013547959737479687,0.01644674,0.26829466,0.766558825969696
29,1.8195287981493906,2.2109155654907227,33.76,0.032339178025722504,0.031229839,0.26524797,0.7998440265655518
30,1.8010182174091989,2.2179216027259825,33.32,0.028175145387649536,0.031330902,0.25658795,0.8037689924240112
31,1.7955290350047024,2.157748344540596,34.32,0.04435299336910248,0.04372727,0.27891356,0.793938934803009
32,1.7645359801297837,2.0269052624702453,36.84,0.02449837699532509,0.019142121,0.2784866,0.7701616883277893
33,1.7440493855286727,2.1050210371613503,35.839999999999996,0.027576971799135208,0.029797195,0.26312274,0.780862033367157
34,1.7404063211923295,2.0214159935712814,38.42,0.026337888091802597,0.025988989,0.29121232,0.7658838629722595
35,1.7254660275172105,2.032382419705391,37.4,0.02738507278263569,0.02704388,0.2933056,0.7632519602775574
36,1.718333138999614,1.9995432585477828,37.44,0.019511377438902855,0.01892834,0.27616218,0.762130081653595
37,1.7081245417622002,2.0180234998464583,36.86,0.01600750721991062,0.02103954,0.26589486,0.7703030705451965
38,1.686926536939361,2.1220616698265076,35.54,0.04623112082481384,0.04586685,0.29006177,0.7838379144668579
39,1.6746848713267932,1.9769850432872773,37.56,0.01625782623887062,0.017741036,0.28596923,0.7599716186523438
40,1.6625025448474018,1.9517606377601624,38.2,0.018222998827695847,0.020597838,0.2932603,0.7603713870048523
41,1.6545877280560406,1.9077696353197098,39.14,0.016243912279605865,0.020789465,0.2893514,0.7464916706085205
42,1.6400278468023648,1.9452687621116638,38.56,0.025911539793014526,0.027752835,0.31174055,0.7510700225830078
43,1.6310520551421426,2.0319405764341356,37.940000000000005,0.03220195323228836,0.033849843,0.27915552,0.757323145866394
44,1.617230418730866,2.1057434171438216,36.199999999999996,0.023635627701878548,0.028053977,0.2646859,0.7783154845237732
45,1.6116319034587254,1.8973466366529466,40.12,0.019338928163051605,0.018046197,0.31533137,0.7386061549186707
46,1.6076538186859002,1.868735697865486,40.0,0.021961741149425507,0.024075836,0.29944998,0.7370655536651611
47,1.6064285974610935,2.076821881532669,37.12,0.043855343014001846,0.046207707,0.2989559,0.7692577242851257
48,1.6004604930904778,1.9643179684877397,38.78,0.030431071296334267,0.027355276,0.28431213,0.7563960552215576
49,1.5880843133411624,1.863800698518753,40.26,0.019184347242116928,0.020243455,0.29396117,0.7392958998680115
50,1.574399421499534,1.9262285485863686,39.06,0.03665886074304581,0.035451703,0.29176027,0.7500449419021606
51,1.5715529251505027,1.999224841594696,37.74,0.04073531553149223,0.041506324,0.31080008,0.7626727223396301
52,1.5670193271203474,1.8629715979099273,40.739999999999995,0.02448243461549282,0.024104895,0.3213136,0.734855592250824
53,1.5573417097330093,1.8198149293661117,41.660000000000004,0.017329765483736992,0.019800236,0.30890432,0.725699782371521
54,1.5496439202265306,1.9348889768123627,40.52,0.031724996864795685,0.031177403,0.31149483,0.7448861598968506
55,1.5469416071745483,2.01663091480732,36.9,0.03833585977554321,0.037981052,0.2811067,0.7677043080329895
56,1.54206029122526,1.8469317257404327,40.44,0.021105673164129257,0.025107794,0.31759202,0.7309213280677795
57,1.5418047159910202,1.8910887509584426,40.1,0.020732184872031212,0.02485626,0.28436765,0.7391524314880371
58,1.5229905962266705,1.8909128040075303,40.06,0.030861010774970055,0.027254554,0.30304444,0.7387996315956116
59,1.5284861346537417,1.8722561776638031,40.660000000000004,0.022178012877702713,0.021199455,0.30637676,0.7340136170387268
60,1.5231750299307434,1.963494646549225,40.38,0.024869609624147415,0.025536299,0.31469086,0.7385448217391968
61,1.5196984359486536,1.8693723291158677,40.62,0.02873273566365242,0.027674047,0.30999804,0.7355284690856934
62,1.5150052705271677,1.780726248025894,42.34,0.018122347071766853,0.021881081,0.3302476,0.7179509997367859
63,1.501078861342235,1.8340216845273971,40.739999999999995,0.03963351249694824,0.040224556,0.30440968,0.729539155960083
64,1.5025314001197165,1.8132949620485306,41.6,0.015404489822685719,0.016139196,0.309288,0.7275820374488831
65,1.5026986754753373,1.9917620301246644,37.72,0.0452456958591938,0.04522525,0.29839253,0.7597325444221497
66,1.507177597419782,1.9619249492883681,38.940000000000005,0.05262956768274307,0.05262957,0.30246338,0.7491176724433899
67,1.4953694885427302,1.8263965845108032,41.22,0.031381335109472275,0.028458802,0.3232247,0.7275097966194153
68,1.4814765561710705,1.9125394359230996,39.18,0.03175608813762665,0.031756084,0.29167998,0.7450753450393677
69,1.4845370206643234,1.8486792474985123,40.92,0.037741146981716156,0.04043402,0.32181433,0.7340194582939148
70,1.4907812005416914,1.8664058417081832,41.3,0.025794368237257004,0.024358071,0.309973,0.7279242277145386
71,1.4825489057058638,1.7908444494009017,41.28,0.0307743102312088,0.028198577,0.3092116,0.7235144376754761
72,1.486678851599043,1.8609886407852172,40.22,0.03182578459382057,0.030008346,0.3108321,0.7341597080230713
73,1.4703894210132686,1.8871723338961601,40.339999999999996,0.02472434565424919,0.028549341,0.29523772,0.7350906729698181
74,1.4553405994718724,2.0013977199792863,38.22,0.04481543228030205,0.04484768,0.2955756,0.7599123120307922
75,1.4867516444488005,1.8997001200914383,40.04,0.024925656616687775,0.028589407,0.31046408,0.740486204624176
76,1.4746938181871718,1.9307366609573364,38.76,0.049025148153305054,0.049778774,0.32208943,0.7555818557739258
77,1.458480592817068,1.9526930361986161,38.36,0.033937402069568634,0.033714846,0.29753396,0.7561325430870056
78,1.4545490260828624,1.9802243530750274,38.2,0.06094225123524666,0.060555715,0.2917113,0.7563337087631226
79,1.4689874713393776,1.8582364201545716,41.6,0.02970481477677822,0.029774629,0.3218016,0.7299944162368774
80,1.45889568769119,1.869881984591484,41.660000000000004,0.034751251339912415,0.032364752,0.3110881,0.7274958491325378
81,1.4524246142669157,1.7961938023567199,42.68,0.02891024760901928,0.03042243,0.3233551,0.7191911935806274
82,1.4375928606499324,1.867609928548336,40.64,0.05006979778409004,0.047188874,0.29992992,0.7369310259819031
