dataset,model,method,loss,ls,mixup,augmix,accuracy,ece,adaece,classece,brier
cifar10,resnet50,isotonic,dual_focal,0.0,0.2,False,0.1,0.004127801395952702,0.0084436815,0.8998721,0.8999864459037781
cifar10,resnet50,bbq,dual_focal,0.0,0.2,False,0.1,0.03372088819742203,0.03372092,0.8999999,0.9046680927276611
cifar10,resnet50,temperature,dual_focal,0.0,0.0,True,0.712,0.04000921547412872,0.040009256,0.5907868,0.39343664050102234
cifar10,resnet50,platt,dual_focal,0.0,0.0,True,0.7425,0.018873441964387894,0.015127626698747022,0.6282276026564191,0.35626113203316895
cifar10,resnet50,isotonic,dual_focal,0.0,0.0,True,0.7337,0.025081289932131767,0.023384871,0.58517575,0.37257957458496094
cifar10,resnet50,bbq,dual_focal,0.0,0.0,True,0.1773,0.006822665687650442,0.020112216,0.37384576,0.8784421682357788
cifar10,resnet50,temperature,bsce_gra,0.0,0.0,False,0.7304,0.06556187570095062,0.06556187,0.5822935,0.38528937101364136
cifar10,resnet50,platt,bsce_gra,0.0,0.0,False,0.7483,0.02125277742743492,0.02003723074348405,0.6525497391204409,0.3457242706854192
cifar10,resnet50,isotonic,bsce_gra,0.0,0.0,False,0.7403,0.02853943035006523,0.02659292,0.6252127,0.36821043491363525
cifar10,resnet50,bbq,bsce_gra,0.0,0.0,False,0.1808,0.013027120381593704,0.016306916,0.31267086,0.8764177560806274
cifar10,resnet50,temperature,bsce_gra,0.1,0.0,False,0.6933,0.0339217483997345,0.034485914,0.57408166,0.409974068403244
cifar10,resnet50,platt,bsce_gra,0.1,0.0,False,0.7471,0.018788719549775124,0.019716012927215216,0.6611983000011021,0.3511038963532764
cifar10,resnet50,isotonic,bsce_gra,0.1,0.0,False,0.7343,0.03310447931289673,0.03309963,0.59853935,0.37547025084495544
cifar10,resnet50,bbq,bsce_gra,0.1,0.0,False,0.1586,0.01987222582101822,0.03241076,0.30003998,0.8842178583145142
cifar10,resnet50,temperature,bsce_gra,0.0,0.2,False,0.7266,0.2734000086784363,0.2734,0.27339998,0.5468000173568726
cifar10,resnet50,platt,bsce_gra,0.0,0.2,False,0.7519,0.025206243619322777,0.024627482873240247,0.6681599399768066,0.3452095742865161
cifar10,resnet50,isotonic,bsce_gra,0.0,0.2,False,0.7422,0.031201474368572235,0.03166172,0.6270904,0.36461010575294495
cifar10,resnet50,bbq,bsce_gra,0.0,0.2,False,0.1685,0.01696505956351757,0.026749084,0.26239404,0.8795585036277771
cifar10,resnet50,temperature,bsce_gra,0.0,0.0,True,0.7227,0.045135483145713806,0.045503225,0.59202176,0.3846745491027832
cifar10,resnet50,platt,bsce_gra,0.0,0.0,True,0.7491,0.0198428463190794,0.019473865375023165,0.6445176840778896,0.34818453215589734
cifar10,resnet50,isotonic,bsce_gra,0.0,0.0,True,0.7367,0.02969418838620186,0.0316298,0.6288669,0.3671937882900238
cifar10,resnet50,bbq,bsce_gra,0.0,0.0,True,0.1701,0.020753107964992523,0.023915403,0.2710074,0.8768628835678101
cifar100,resnet50,temperature,cross_entropy,0.0,0.0,False,0.4417,0.06285979598760605,0.062722996,0.35042107,0.7007269263267517
cifar100,resnet50,platt,cross_entropy,0.0,0.0,False,0.4467,0.1644005924463272,0.16440059255913847,0.39465209047036454,0.7267250392505877
cifar100,resnet50,isotonic,cross_entropy,0.0,0.0,False,0.4587,0.07047787308692932,0.06993864,0.34139386,0.6863722205162048
cifar100,resnet50,bbq,cross_entropy,0.0,0.0,False,0.0197,0.012099284678697586,0.012099287,0.10416782,0.9884064197540283
cifar100,resnet50,temperature,cross_entropy,0.1,0.0,False,0.2676,0.7324000000953674,0.73239994,0.73240006,1.4648000001907349
cifar100,resnet50,platt,cross_entropy,0.1,0.0,False,0.291,0.05522080510854721,0.055220802795217724,0.21719207151860878,0.8304375987388419
cifar100,resnet50,isotonic,cross_entropy,0.1,0.0,False,0.2627,0.03158276528120041,0.03306606,0.17560427,0.8458926677703857
cifar100,resnet50,bbq,cross_entropy,0.1,0.0,False,0.0246,0.0115354023873806,0.0118679125,0.15486877,0.9869285225868225
cifar100,resnet50,temperature,cross_entropy,0.0,0.2,False,0.4501,0.017665274441242218,0.017248917,0.32772255,0.6873301267623901
cifar100,resnet50,platt,cross_entropy,0.0,0.2,False,0.451,0.16704308986663818,0.16704308815358251,0.39072791118684014,0.7288785575559367
cifar100,resnet50,isotonic,cross_entropy,0.0,0.2,False,0.4604,0.03880266100168228,0.03880265,0.35951194,0.6792056560516357
cifar100,resnet50,bbq,cross_entropy,0.0,0.2,False,0.0236,0.00881897285580635,0.008797827,0.18283069,0.9885754585266113
cifar100,resnet50,temperature,cross_entropy,0.0,0.0,True,0.4159,0.06348702311515808,0.06348703,0.30815846,0.722137987613678
cifar100,resnet50,platt,cross_entropy,0.0,0.0,True,0.4213,0.18347415328025818,0.18347415008545562,0.3634118999061873,0.757355333458422
cifar100,resnet50,isotonic,cross_entropy,0.0,0.0,True,0.4311,0.07896769046783447,0.07896773,0.32529378,0.7126182913780212
cifar100,resnet50,bbq,cross_entropy,0.0,0.0,True,0.0224,0.006429689005017281,0.0071195248,0.18703063,0.988617479801178
cifar100,resnet50,temperature,focal,0.0,0.0,False,0.4475,0.04209506884217262,0.042694885,0.34033933,0.6926268339157104
cifar100,resnet50,platt,focal,0.0,0.0,False,0.4527,0.17403274774551392,0.17403273517684031,0.39166094425471004,0.7267051172087077
