epoch,train_loss,val_loss,val_acc,val_ece,val_adaece,val_classece,val_brier
0,5.622821238907901,4.651858830451966,1.6400000000000001,0.0073033710941672325,0.007457399,0.029914372,0.9924511909484863
1,4.446909400549802,4.285600817203521,3.2399999999999998,0.007919622585177422,0.0076624746,0.029144676,0.9820313453674316
2,4.29913165081631,4.205954223871231,4.38,0.006635505240410566,0.010223247,0.07104537,0.9790507555007935
3,4.212668534706939,4.032873743772507,6.800000000000001,0.012530405074357986,0.012148527,0.050609894,0.9709885716438293
4,4.090901752764529,3.9365241646766664,7.76,0.01284035760909319,0.017219754,0.07809062,0.96573406457901
5,3.98877443711866,3.785566210746765,11.0,0.015471159480512142,0.014915191,0.08036467,0.9539761543273926
6,3.870783520693129,3.645120292901993,13.52,0.019708631560206413,0.025124535,0.07976554,0.9394863247871399
7,3.76582226969979,3.515645158290863,16.520000000000003,0.021221205592155457,0.020148808,0.1099901,0.9273539185523987
8,3.617825085466558,3.3716497480869294,18.0,0.014196306467056274,0.017795803,0.12949382,0.9145679473876953
9,3.5814850201660935,3.3226571083068848,20.0,0.015954788774251938,0.017381622,0.1434689,0.9050496816635132
10,3.4503393437374723,4.354949975013733,18.02,0.05486740916967392,0.053521443,0.13392238,0.9490737318992615
11,3.4191165417432785,3.2453835010528564,21.740000000000002,0.025896752253174782,0.027940638,0.15863842,0.8903144598007202
12,3.3724077716469765,3.159664440155029,22.900000000000002,0.020930089056491852,0.018483564,0.17022192,0.8812851309776306
13,3.2528448897329243,3.0997158885002136,24.52,0.015178336761891842,0.016258076,0.16687392,0.873762309551239
14,3.1981157938187774,2.9816798329353333,25.380000000000003,0.028601817786693573,0.03110152,0.19917864,0.8649982213973999
15,3.185987738045779,3.0331103026866915,25.240000000000002,0.04462321475148201,0.045963835,0.17808378,0.8704873323440552
16,3.1084443046288057,2.956050235033035,25.759999999999998,0.023772696033120155,0.025888178,0.19490236,0.861223042011261
17,3.0771157348697837,2.8799289524555207,28.12,0.01139969564974308,0.019776799,0.20026188,0.843571662902832
18,3.0536723265593704,2.903930014371872,28.000000000000004,0.017007455229759216,0.016378412,0.20945078,0.8429153561592102
19,2.9858456375924023,2.88734512925148,27.860000000000003,0.02151872031390667,0.025335614,0.20933796,0.8511724472045898
20,2.971424836326729,2.8502775132656097,28.76,0.019050467759370804,0.020842614,0.2150353,0.8425239324569702
21,2.9301615357398987,2.780539482831955,30.12,0.018730826675891876,0.021265166,0.2096728,0.8297679424285889
22,2.920405884358016,2.7603618025779726,30.259999999999998,0.03408196568489075,0.03225961,0.21986923,0.8271377086639404
23,2.893737045201388,2.6488021314144135,33.06,0.023900380358099937,0.024145085,0.23858859,0.8021568655967712
24,2.872385261411017,2.7818641781806948,30.78,0.02811358869075775,0.03196503,0.2223791,0.8279401659965515
25,2.8582105460492047,2.694588136672974,31.36,0.026696281507611275,0.03125339,0.2642434,0.8262042999267578
26,2.8935583409937946,2.875138187408447,29.9,0.028242284432053566,0.030128099,0.20351009,0.8363006711006165
27,2.8011245646260003,2.702009528875351,32.24,0.03147931024432182,0.029284647,0.23466232,0.8082168102264404
28,2.7742524983530696,2.7485921502113344,31.240000000000002,0.027703462168574333,0.0295429,0.22175296,0.8160490393638611
29,2.775604849511927,2.6535661995410917,33.7,0.019598711282014847,0.0223151,0.25024503,0.8028455376625061
30,2.7825590026649563,2.7199593424797057,31.96,0.018472831696271896,0.019318966,0.21895458,0.8147627115249634
31,2.719633803110231,2.5640056014060972,34.06,0.013888138346374035,0.014261123,0.25039333,0.7901182174682617
32,2.7492597204717724,2.4839089632034304,36.54,0.02806052565574646,0.030139012,0.23506667,0.7686362266540527
33,2.707130903886123,2.507635051012039,35.76,0.03330609202384949,0.03362566,0.27962917,0.7776331901550293
34,2.7322149202227592,2.627004712820053,34.38,0.030142655596137047,0.03790799,0.25346026,0.7968884706497192
35,2.637095382945104,2.4980587303638457,36.1,0.017494114115834236,0.017907629,0.24179481,0.7723127603530884
36,2.6631444540213454,2.5474407374858856,35.14,0.018313296139240265,0.018754533,0.267052,0.7835022211074829
37,2.683710041371259,2.459366571903229,36.88,0.009502512402832508,0.014528066,0.25863823,0.7631992101669312
38,2.6608750115741384,2.572691810131073,35.260000000000005,0.03126675635576248,0.03208676,0.26394698,0.7837898135185242
39,2.624891570684585,2.5342277944087983,35.46,0.017740679904818535,0.022184605,0.2443756,0.7873514294624329
40,2.595487777821042,2.4319934844970703,38.06,0.01537503395229578,0.018223599,0.28885692,0.7614246010780334
41,2.6019244905222547,2.5056514978408813,37.2,0.018195880576968193,0.0161775,0.25229055,0.7724796533584595
42,2.5949000882154163,2.5258685767650606,35.96,0.04325604811310768,0.043256044,0.27071527,0.7782776951789856
43,2.6230862699449062,2.419966381788254,38.78,0.01750907115638256,0.016651543,0.27207187,0.7578439712524414
44,2.572887060317126,2.5081740796566008,37.1,0.020470067858695984,0.022755347,0.273083,0.7693113684654236
45,2.547914932058616,2.622332751750946,34.699999999999996,0.029436076059937477,0.031878613,0.25761452,0.7920096516609192
46,2.555552177469839,2.4319374680519106,37.2,0.024103447794914246,0.02533014,0.2753234,0.7656245231628418
47,2.6052050665020943,2.3608424246311186,39.96,0.02167733572423458,0.020394953,0.28685132,0.7393943667411804
48,2.5581569122997196,2.4443016767501833,38.18,0.0362732894718647,0.0356996,0.27040195,0.7653598189353943
