epoch,train_loss,val_loss,val_acc,val_ece,val_adaece,val_classece,val_brier
0,0.5564635540914098,0.4358305883407593,74.85455720749839,0.14096945524215698,0.14084521,0.5152338,0.3668490946292877
1,0.461359860495143,0.41246896028518676,76.98771816418876,0.18011152744293213,0.17974517,0.54390854,0.36448046565055847
2,0.448367615563607,0.40858000159263613,77.69877181641888,0.15955573320388794,0.15955572,0.5250257,0.34968101978302
3,0.43393352456869333,0.39740115761756895,77.92501616031028,0.15516290068626404,0.15516292,0.54727906,0.34113824367523193
4,0.4299586331899013,0.3941920137405395,77.47252747252747,0.1634257286787033,0.16342571,0.53131306,0.3470801115036011
5,0.42289340068851045,0.39646982789039614,77.14932126696833,0.176615372300148,0.17631967,0.53265005,0.35863196849823
6,0.42195951921540664,0.3848744738101959,78.34518422753717,0.15134337544441223,0.15115201,0.55766505,0.332224577665329
7,0.4251242943039728,0.38177143573760985,76.92307692307693,0.1479661613702774,0.14747,0.5637569,0.33950895071029663
8,0.42397226987902176,0.3953033685684204,78.21590174531352,0.15229667723178864,0.15229665,0.5517071,0.3388071060180664
9,0.42489235923377744,0.3894556140899658,77.47252747252747,0.1570427119731903,0.15679756,0.5455605,0.3420295715332031
10,0.4197249722863556,0.3844770205020904,77.5048480930834,0.16817978024482727,0.16694957,0.55341053,0.347282737493515
11,0.4245853720044871,0.4267821681499481,73.82029734970912,0.13955557346343994,0.1395556,0.5467273,0.3654973804950714
12,0.4272131379181092,0.3930657637119293,77.0846800258565,0.14886607229709625,0.14917174,0.5638646,0.3418661057949066
13,0.4262416223320392,0.40654976725578307,77.86037491919845,0.14914897084236145,0.14903231,0.52379334,0.3417728841304779
14,0.4235557016292843,0.3890317904949188,77.21396250808016,0.16556401550769806,0.165564,0.53084254,0.3473575711250305
15,0.41919712045597374,0.3804789566993713,77.44020685197157,0.15380540490150452,0.15369381,0.5537198,0.33894219994544983
16,0.4170148513459284,0.39095006108284,77.66645119586296,0.1558893918991089,0.1554869,0.5464313,0.3397965133190155
17,0.4174599603946329,0.3891709578037262,77.9573367808662,0.16397227346897125,0.16347812,0.54727125,0.34097209572792053
18,0.4182501146826175,0.3965072548389435,77.34324499030382,0.1648273766040802,0.16438581,0.5332276,0.3490756154060364
19,0.4239721907251472,0.3876680672168732,77.60180995475113,0.16115231812000275,0.16010404,0.54215735,0.34073105454444885
20,0.4211696456741849,0.3750713682174683,77.86037491919845,0.15864504873752594,0.15864503,0.5755273,0.3414877951145172
21,0.43251939042719134,0.3919722723960877,76.82611506140918,0.15217933058738708,0.15217932,0.5477114,0.3460049331188202
22,0.44153066997954604,0.3880300319194794,76.34130575307046,0.15368959307670593,0.1536896,0.54940134,0.34848710894584656
23,0.428637724814065,0.38163249850273134,78.76535229476406,0.180101215839386,0.17867215,0.5234187,0.3440684378147125
24,0.43272944239028005,0.3852238833904266,77.73109243697479,0.16268053650856018,0.16268049,0.5521016,0.3411044478416443
25,0.4281463886893124,0.37929003953933715,76.72915319974145,0.14293025434017181,0.14293028,0.5548643,0.3359856605529785
26,0.43020776057735494,0.4065742087364197,76.50290885585002,0.1630755513906479,0.16307558,0.5150552,0.3561038076877594
27,0.43012846814929895,0.38384107828140257,77.21396250808016,0.14298760890960693,0.14280069,0.55670035,0.33800768852233887
28,0.41888110086731956,0.38815736651420596,76.76147382029735,0.16279831528663635,0.16279832,0.5631931,0.3483661413192749
29,0.4225270779581245,0.3833314335346222,77.47252747252747,0.15189310908317566,0.15007658,0.5328843,0.34184592962265015
30,0.4198128047544475,0.40313830494880676,74.62831286360698,0.1524035632610321,0.15240358,0.5578449,0.36671724915504456
