epoch,train_loss,val_loss,val_acc,val_ece,val_adaece,val_classece,val_brier
0,4.814941012046554,2.0812236607074737,10.84,0.005001073703169823,0.01352611,0.49810043,0.899880051612854
1,2.0688596469434826,2.0761244356632234,9.94,0.007012999150902033,0.02178683,0.10125675,0.8999077081680298
2,2.066451034085317,2.0699744820594788,10.74,0.0037363748997449875,0.04086568,0.105728,0.8985381722450256
3,2.0043009766800837,1.8536149919033051,19.040000000000003,0.027744827792048454,0.033401314,0.2196754,0.8624790906906128
4,1.8002644123678857,1.7057692915201188,16.919999999999998,0.027406034991145134,0.034611125,0.31931594,0.8431997895240784
5,1.6925848251716658,1.7547920405864716,19.68,0.020087789744138718,0.026497077,0.163207,0.8437552452087402
6,1.614102753725919,1.5051501587033271,28.74,0.04436765983700752,0.04848813,0.19138867,0.7951897978782654
7,1.509192444384098,1.8475930750370027,26.52,0.06058160588145256,0.06525675,0.20326084,0.8177626132965088
8,1.4668944616886703,1.4928328216075897,30.04,0.03979621082544327,0.037282936,0.24398445,0.7797134518623352
9,1.4330527890812268,1.4452338010072707,32.66,0.051923636347055435,0.048421513,0.22391723,0.7711982131004333
10,1.4004632976244797,1.3123715102672577,37.66,0.07298718392848969,0.07176814,0.2379636,0.7408257126808167
11,1.3001928580078213,1.3081055551767349,39.22,0.056951504200696945,0.05615451,0.26590526,0.724556565284729
12,1.2329981865530664,1.391151574254036,37.08,0.021596334874629974,0.023408951,0.26764244,0.7410907745361328
13,1.146895031529394,1.160823193192482,45.9,0.09119563549757004,0.09023503,0.30660486,0.6796280741691589
14,1.088318016549403,1.070723481476307,51.580000000000005,0.13022100925445557,0.13007683,0.3251681,0.642728328704834
15,1.0334766930477186,1.1195657759904862,49.26,0.1037316843867302,0.100760944,0.31418023,0.6519461870193481
16,1.0017782309177248,1.1260830953717231,48.42,0.05637447163462639,0.056344524,0.33517432,0.6427441239356995
17,0.9553110553798351,1.0695237144827843,51.4,0.10242737829685211,0.10242738,0.33716846,0.6365548372268677
18,0.9125102751634337,1.0375700831413268,53.16,0.08726602047681808,0.08695755,0.35713536,0.6083378195762634
19,0.8886023651469838,0.9475274831056595,56.2,0.10452181845903397,0.10479521,0.37364548,0.5806441307067871
20,0.851535202935338,1.0344197690486907,53.900000000000006,0.05076886713504791,0.056672744,0.3844477,0.5891909599304199
21,0.8246379393068227,0.868268795311451,60.96,0.14356504380702972,0.14356504,0.39765468,0.5471211671829224
22,0.8163096132603559,0.9037256956100463,59.519999999999996,0.12441471964120865,0.12357678,0.3889015,0.552223265171051
23,0.7819890400225465,0.9274973571300507,59.24,0.11523473262786865,0.11523477,0.39530957,0.5576066970825195
24,0.7648814419623126,0.8431636214256286,62.7,0.13695994019508362,0.13695997,0.40494022,0.5227740406990051
25,0.7561513009396467,0.7715718626976014,65.38000000000001,0.13863380253314972,0.13863382,0.44397917,0.49444472789764404
